Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip,Set
2090,937.876,806.446,895.263,0.233364,-0.668593,-0.706062,0.0295544,1.08921,1.37633,1.49912,0.648881,340,45,1
2081,948.078,812.542,893.388,-0.692261,0.37732,-0.615145,0.0305769,1.17637,1.04464,1.22889,0.711546,118,52,2
2078,946.509,811.099,894.479,-0.869263,0.13745,-0.474857,0.0169511,0.669504,0.740061,0.495474,0.2878,98,61,2
2076,952.462,819.763,893.618,-0.723721,0.654666,-0.218266,0.0322229,0.978149,1.16198,1.13659,0.3954,132,77,2
2075,950.815,817.209,893.605,-0.700113,0.588125,-0.404908,0.0268741,0.755453,1.52382,1.15118,0.514761,130,66,2
2073,942.061,808.979,894.524,0.617232,-0.524355,-0.58658,0.0134229,0.601682,1.35858,0.817434,0.371056,310,54,1
2071,946.218,811.893,895.829,-0.78678,0.292321,-0.543623,0.0354574,0.806756,1.19965,0.967824,0.310479,110,57,2
2068,946.012,810.643,893.496,0.671923,-0.524572,-0.522823,0.0341613,5.56646,1.29448,7.20565,2.49814,307,58,1
2061,942.45,808.829,895.466,-0.594518,-0.705978,-0.384894,0.0154412,0.829629,0.7259,0.602228,0.290849,40,67,4
2058,949.595,814.83,894.638,-0.773154,0.626622,0.0978649,0.0330284,0.985812,0.590545,0.582167,0.313078,309,84,1
2056,944.732,809.297,894.256,-0.732282,0.650483,-0.201583,0.0384096,1.69404,1.41404,2.39544,1.25922,131,78,2
2048,947.345,812.071,894.949,-0.67899,0.455404,-0.57583,0.0228955,0.822896,0.698856,0.575086,0.283585,123,54,2
2041,949.828,816.722,895.096,-0.621701,0.0983772,-0.777052,0.0394416,2.70737,1.68953,4.57419,2.1081,98,39,2
2038,949.347,815.033,895.46,-0.776218,0.232899,-0.585871,0.0433852,1.95314,1.92388,3.75762,1.23348,106,54,2
2032,949.845,815.451,893.396,-0.727791,0.528408,-0.437156,0.0268167,0.983955,0.722785,0.711188,0.416117,125,64,2
2030,949.504,817.843,896.666,0.69674,-0.490277,-0.523623,0.0348428,8.19547,2.4152,19.7937,8.09874,305,58,1
2020,948.176,813.317,894.356,-0.620096,0.352002,-0.701124,0.0153871,0.860535,0.898982,0.773606,0.406629,119,45,2
2018,945.354,811.888,897.798,0.65903,-0.496245,-0.565173,0.00953198,3.04203,0.598689,1.82123,1.15452,306,55,1
2017,943.858,808.599,894.491,0.655044,-0.582712,-0.481003,0.0174761,0.745939,0.5856,0.436822,0.200586,311,61,1
2011,948.458,815.127,896.485,-0.741705,0.0791505,-0.66604,0.0340678,0.982826,1.33014,1.3073,0.853418,96,48,2
1991,944.059,809.567,895.34,-0.550742,0.439299,-0.709718,0.0343165,2.92312,1.93863,5.66685,2.07587,128,44,2
1990,945.708,811.185,896.11,-0.48726,0.563212,-0.667361,0.0208475,0.874445,0.80279,0.701996,0.446527,139,48,2
1988,952.82,820.669,894.263,-0.796353,-0.00583076,-0.604804,0.021303,0.997512,0.750024,0.748158,0.447499,89,52,2
1984,949.636,815.115,893.313,-0.680589,0.621982,-0.387218,0.0231734,1.05612,0.708328,0.74808,0.324681,132,67,2
1979,952.865,823.346,896.064,0.72482,-0.516478,-0.455945,0.0330982,2.05599,2.04363,4.2017,1.9458,305,62,1
1978,948.477,813.87,894.525,-0.586696,0.664111,-0.463404,0.0259416,1.19713,1.18126,1.41412,0.674816,138,62,2
1974,936.916,806.918,894.345,0.727891,-0.528782,-0.436537,0.0373468,1.65308,1.59493,2.63654,1.35567,305,64,1
1972,940.532,809.01,893.286,0.0220695,-0.860635,0.508744,0.0153884,0.547798,0.802477,0.439595,0.265801,178,59,3
1971,951.619,821.043,897.065,-0.844788,0.492574,-0.209055,0.0332059,1.62595,0.685109,1.11395,0.674443,120,77,2
1964,938.023,806.266,897.139,0.207011,-0.968917,0.135449,0.0351374,2.29133,1.5556,3.56439,1.07383,167,82,3
2042,948.525,813.346,893.391,-0.800447,0.553841,-0.229226,0.0325909,1.01629,0.88728,0.90173,0.387913,124,76,2
1954,944.229,810.2,897.643,-0.773216,0.322291,-0.546137,0.0284949,1.05962,0.783695,0.83042,0.419505,112,56,2
1940,951.173,818.704,894.271,-0.593181,0.601029,-0.53563,0.0333328,1.23424,1.39474,1.72145,1.01167,135,57,2
1938,947.164,813.707,897.497,0.664205,-0.476021,-0.576399,0.0135436,2.30483,1.16923,2.69488,0.895031,305,54,1
1926,946.017,811.955,896.398,0.628991,-0.483657,-0.608643,0.0151808,3.94834,0.696262,2.74908,1.14892,307,52,1
1919,950.375,816.783,894.599,-0.795658,0.222998,-0.563206,0.0208092,1.26161,0.511193,0.644928,0.303821,105,55,2
1905,949.504,818.019,895.675,-0.537423,0.380112,-0.752789,0.025863,1.81119,1.26329,2.28805,0.864937,125,41,2
1898,952.885,821.256,893.769,-0.739111,-0.662486,0.121765,0.0187658,0.659927,1.23804,0.817014,0.45672,228,83,4
1895,942.424,808.77,897.721,-0.309716,0.759501,-0.572043,0.0252119,0.811283,0.682354,0.553582,0.311268,157,55,3
1888,952.146,822.219,897.347,-0.853174,0.521601,0.00511522,0.025284,1.13647,0.808971,0.919369,0.604219,301,89,1
1887,944.137,810.198,896.371,-0.0745849,-0.866845,0.492967,0.0226183,1.06113,0.635694,0.674557,0.441628,184,60,3
1884,952.637,820.684,894.897,-0.842665,-0.538407,0.00574454,0.0260177,0.962632,0.919082,0.884738,0.441001,237,89,4
1876,940.848,807.649,897.68,0.352091,-0.844648,0.403239,0.0323156,0.919298,0.900608,0.827927,0.414854,157,66,3
1872,941.648,807.819,896.663,-0.433127,0.532854,-0.726958,0.0352693,2.72159,0.961991,2.61814,1.31739,140,43,2
1866,940.893,808.964,893.866,-0.557521,-0.81794,0.141931,0.018001,0.752432,1.25119,0.941437,0.55107,214,81,4
1861,950.167,818.496,897.082,0.676575,-0.483556,-0.555356,0.0144951,0.832555,0.501494,0.417521,0.295603,305,56,1
1850,953.269,823.572,897.409,-0.851125,0.524294,-0.0264882,0.0246555,0.69826,1.08088,0.754738,0.322526,121,88,
1849,943.224,808.747,894.345,-0.713015,-0.700655,-0.026322,0.0278323,1.27818,2.56357,3.27669,1.53086,45,88,4
1832,937.235,807.767,893.646,0.722018,-0.605588,-0.334595,0.0323173,0.976945,0.65599,0.640865,0.367716,309,70,1
1924,950.428,818.999,896.932,0.674936,-0.735444,0.0598649,0.020933,0.796482,0.575739,0.458566,0.245526,137,86,
1818,951.508,820.776,897.835,-0.930619,0.342761,-0.128309,0.0157542,0.984206,0.448343,0.441262,0.2811,110,82,
1797,950.325,817.665,894.713,-0.746115,-0.0893018,-0.659801,0.0191564,0.751353,0.967106,0.726638,0.361209,83,48,2
1793,936.671,806.901,893.626,-0.773412,0.631253,0.0579136,0.0265873,1.08058,1.11314,1.20284,0.611237,309,86,1
1792,945.349,810.427,895.233,-0.379799,0.634784,-0.672906,0.0330693,0.792389,0.895746,0.709779,0.301563,149,47,2
1786,952.617,823.572,894.881,-0.70099,0.1721,-0.692094,0.0179443,0.643855,0.589976,0.379859,0.238341,103,46,2
2027,952.443,821.343,895.111,-0.656689,0.235587,-0.71642,0.0174554,0.742067,0.933006,0.692353,0.353631,109,44,2
1843,950.956,819.905,896.719,-0.847318,0.494162,0.194567,0.0215882,1.22296,0.571288,0.698661,0.437512,300,78,1
1760,949.16,816.472,897.811,-0.755,0.392256,-0.525462,0.0242715,0.863696,0.467655,0.403912,0.300928,117,58,2
1750,942.47,808.874,894.007,-0.472895,-0.876609,0.0890337,0.0241243,0.862691,0.99418,0.857671,0.375254,208,84,4
1742,952.199,821.319,895.918,-0.647793,0.217033,-0.730247,0.027736,2.33115,1.51741,3.53731,1.19383,108,43,2
1736,941.733,808.419,897.775,-0.412014,0.495348,-0.764771,0.0217257,1.14153,0.803712,0.917464,0.396845,140,40,2
1733,949.582,815.205,893.761,0.702374,-0.549392,-0.452592,0.0165006,1.21822,0.423809,0.516294,0.315929,308,63,1
1743,941.175,807.464,896.908,0.672481,-0.494919,-0.550295,0.0192796,1.56493,0.739765,1.15768,0.403027,306,56,1
1721,952.841,823.09,897.32,0.729299,-0.639737,-0.24261,0.0094506,0.598477,0.543453,0.325244,0.244283,311,75,1
1680,950.559,819.3,897.218,-0.730707,0.399313,-0.553729,0.0226325,0.699323,0.572616,0.400444,0.237176,118,56,2
1671,952.92,822.4,893.232,-0.835527,-0.50573,0.214783,0.0220536,1.14455,0.582255,0.666419,0.342427,238,77,4
1669,947.065,812.194,895.255,-0.500412,0.428852,-0.752113,0.0152749,0.945623,0.970953,0.918156,0.380641,130,41,2
1638,949.077,817.235,895.72,-0.788171,-0.148152,-0.597358,0.0234051,0.725892,1.03019,0.747805,0.399457,79,53,
1632,951.004,820.266,897.174,-0.729286,0.607593,-0.314599,0.0203994,0.859246,0.498439,0.428282,0.254051,129,71,2
2049,947.476,813.007,895.503,-0.681128,0.685791,-0.256428,0.031214,1.11763,0.370246,0.4138,0.235888,135,75,2
1883,951.366,818.441,893.579,-0.753521,0.650064,-0.0981012,0.0297834,0.920045,0.842805,0.775419,0.327897,130,84,
1993,952.75,822.908,897.594,0.535812,-0.838004,-0.103218,0.0185565,0.706126,0.945847,0.667887,0.319165,327,84,1
