Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
2091,946.76,811.361,893.649,0.604126,-0.771094,-0.20111,0.0145571,0.380828,0.360137,0.13715,0.0734302,321,78
2090,937.876,806.446,895.263,0.233364,-0.668593,-0.706062,0.0295544,1.08921,1.37633,1.49912,0.648881,340,45
2081,948.078,812.542,893.388,-0.692261,0.37732,-0.615145,0.0305769,1.17637,1.04464,1.22889,0.711546,118,52
2080,950.597,816.477,893.489,-0.787014,0.561465,0.255668,0.0124749,0.371799,0.385804,0.143442,0.0633482,305,75
2079,947.425,811.971,893.406,-0.355986,0.833164,-0.423217,0.0194728,0.429799,0.400563,0.172161,0.0944428,156,64
2078,946.509,811.099,894.479,-0.869263,0.13745,-0.474857,0.0169511,0.669504,0.740061,0.495474,0.2878,98,61
2076,952.462,819.763,893.618,-0.723721,0.654666,-0.218266,0.0322229,0.978149,1.16198,1.13659,0.3954,132,77
2075,950.815,817.209,893.605,-0.700113,0.588125,-0.404908,0.0268741,0.755453,1.52382,1.15118,0.514761,130,66
2073,942.061,808.979,894.524,0.617232,-0.524355,-0.58658,0.0134229,0.601682,1.35858,0.817434,0.371056,310,54
2072,949.25,814.669,894.203,0.638577,-0.556377,-0.531662,0.0112706,0.587042,0.526441,0.309043,0.182115,311,57
2071,946.218,811.893,895.829,-0.78678,0.292321,-0.543623,0.0354574,0.806756,1.19965,0.967824,0.310479,110,57
2068,946.012,810.643,893.496,0.671923,-0.524572,-0.522823,0.0341613,5.56646,1.29448,7.20565,2.49814,307,58
2065,944.775,809.308,894.266,-0.975877,0.13185,-0.174009,0.00931237,0.257723,0.262247,0.0675872,0.0311666,97,79
2061,942.45,808.829,895.466,-0.594518,-0.705978,-0.384894,0.0154412,0.829629,0.7259,0.602228,0.290849,40,67
2059,948.881,814.38,894.946,-0.380001,-0.834167,0.399705,0.0134592,0.35422,0.460908,0.163263,0.10363,204,66
2058,949.595,814.83,894.638,-0.773154,0.626622,0.0978649,0.0330284,0.985812,0.590545,0.582167,0.313078,309,84
2057,950.507,816.57,894.276,-0.926696,0.352519,-0.130246,0.0129433,0.294811,0.331928,0.0978559,0.0556767,110,82
2056,944.732,809.297,894.256,-0.732282,0.650483,-0.201583,0.0384096,1.69404,1.41404,2.39544,1.25922,131,78
2055,948.113,813.639,894.857,-0.829361,0.539473,0.145357,0.0220589,0.600733,0.455159,0.273429,0.138902,303,81
2053,949.189,814.2,893.183,-0.598381,0.58011,-0.552642,0.020859,0.72633,0.43064,0.312787,0.172504,134,56
2051,942.404,808.73,896.213,0.44416,-0.753004,-0.485496,0.0150458,0.202061,0.256237,0.0517756,0.0300077,329,60
2048,947.345,812.071,894.949,-0.67899,0.455404,-0.57583,0.0228955,0.822896,0.698856,0.575086,0.283585,123,54
2046,951.049,817.379,893.464,-0.626543,0.514818,-0.585156,0.0129952,0.328165,0.190295,0.062448,0.0418203,129,54
2045,943.071,808.713,893.688,-0.286427,-0.859431,-0.423483,0.0153661,0.147093,0.181648,0.0267191,0.0231385,18,64
2041,949.828,816.722,895.096,-0.621701,0.0983772,-0.777052,0.0394416,2.70737,1.68953,4.57419,2.1081,98,39
2040,947.31,811.889,894.584,-0.888471,0.304075,-0.343739,0.0116025,0.164829,0.179372,0.0295658,0.0258422,108,69
